Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF,Non-FT,Non-FT%,Team,POS
Luka Doncic,2370,646,686,38,99,0.487,0.786,284,282,70,2624,478,520,2.43,149,1892,0.7983122362869198,DAL,PG
Shai Gilgeous-Alexander,2254,415,465,67,150,0.535,0.874,95,162,75,2553,567,701,2.87,184,1687,0.7484472049689441,OKC,"PG,SG"
Giannis Antetokounmpo,2222,841,476,79,87,0.611,0.657,34,250,73,2567,514,803,1.9,210,1708,0.7686768676867687,MIL,"PF,C"
Jalen Brunson,2212,278,519,13,70,0.479,0.847,211,186,77,2726,421,579,2.79,144,1791,0.8096745027124774,NYK,"PG,SG"
Nikola Jokic,2085,976,708,68,108,0.583,0.817,83,237,79,2737,358,739,2.99,194,1727,0.8282973621103118,DEN,C
Anthony Edwards,2049,430,405,42,101,0.461,0.836,190,241,79,2770,423,528,1.68,141,1626,0.7935578330893118,MIN,"SG,SF"
Kevin Durant,2032,495,378,91,69,0.523,0.856,168,244,75,2791,362,583,1.55,133,1670,0.8218503937007874,PHO,"SF,PF"
Jayson Tatum,1987,601,364,43,75,0.471,0.833,229,188,74,2645,414,443,1.94,145,1573,0.7916456970306995,BOS,"SF,PF"
De'Aaron Fox,1966,340,418,31,150,0.465,0.738,214,194,74,2659,312,506,2.15,193,1654,0.8413021363173957,SAC,PG
Stephen Curry,1956,330,379,28,54,0.45,0.923,357,210,74,2421,299,293,1.8,117,1657,0.8471370143149284,GSW,"PG,SG"
DeMar DeRozan,1897,340,421,45,90,0.48,0.853,75,135,79,2989,522,575,3.12,161,1375,0.7248286768581972,CHI,"PF,SF,SG"
Anthony Davis,1876,961,266,178,91,0.556,0.816,29,159,76,2700,421,684,1.67,177,1455,0.7755863539445629,LAL,"PF,C"
Devin Booker,1841,308,472,28,61,0.492,0.886,152,178,68,2447,405,490,2.65,206,1436,0.7800108636610538,PHO,"PG,SF,SG"
LeBron James,1822,518,589,38,89,0.54,0.75,149,245,71,2504,303,536,2.4,78,1519,0.8336992316136114,LAL,"PF,SF"
Tyrese Maxey,1816,258,433,33,69,0.45,0.868,212,116,70,2626,328,426,3.73,151,1488,0.8193832599118943,PHI,"PG,SG"
Paolo Banchero,1804,554,431,47,71,0.455,0.725,119,247,80,2799,405,521,1.74,153,1399,0.7754988913525499,ORL,"PF,SF"
Damian Lillard,1775,320,508,18,72,0.424,0.92,220,193,73,2579,473,321,2.63,134,1302,0.7335211267605634,MIL,PG
Dejounte Murray,1753,416,502,24,111,0.459,0.794,201,201,78,2783,208,471,2.5,138,1545,0.8813462635482031,ATL,"PG,SG"
Pascal Siakam,1737,565,342,25,63,0.536,0.732,85,141,80,2658,290,596,2.43,193,1447,0.8330454807138745,IND,"PF,C"
Paul George,1671,388,262,37,113,0.471,0.907,243,153,74,2502,264,339,1.71,202,1407,0.8420107719928187,LAC,"SF,PF,SG"
Kawhi Leonard,1613,416,244,59,111,0.525,0.885,140,119,68,2330,253,470,2.05,97,1360,0.8431494110353379,LAC,"PF,SF,SG"
Jaylen Brown,1610,387,249,37,83,0.499,0.703,145,166,70,2343,211,482,1.5,185,1399,0.868944099378882,BOS,"SG,SF"
Jalen Green,1610,423,291,28,66,0.423,0.804,201,191,82,2602,283,362,1.52,115,1327,0.824223602484472,HOU,"PG,SG"
Mikal Bridges,1606,372,299,30,81,0.436,0.814,220,164,82,2854,258,344,1.82,116,1348,0.8393524283935243,BKN,"PF,SF,SG"
Zion Williamson,1601,406,352,47,77,0.57,0.702,6,193,70,2207,347,618,1.82,159,1254,0.783260462211118,NOR,"C,PF"
Domantas Sabonis,1593,1120,673,48,74,0.594,0.704,33,272,82,2928,292,601,2.47,250,1301,0.8166980539861896,SAC,"PF,C"
Kyle Kuzma,1553,465,296,49,37,0.463,0.775,151,192,70,2281,186,457,1.54,153,1367,0.8802318094011591,WAS,"SF,PF"
Victor Wembanyama,1522,755,274,254,88,0.465,0.796,128,260,71,2106,292,423,1.05,153,1230,0.8081471747700394,SAS,"C,PF"
Coby White,1509,358,405,18,53,0.448,0.839,209,166,79,2881,218,332,2.44,186,1291,0.8555334658714381,CHI,"PG,SG"
Kyrie Irving,1487,290,299,28,74,0.497,0.905,173,106,58,2030,190,389,2.82,112,1297,0.8722259583053127,DAL,"PG,SG"
Jaren Jackson Jr.,1486,365,154,106,80,0.444,0.808,117,160,66,2124,337,399,0.96,235,1149,0.7732166890982504,MEM,"PF,C"
Cam Thomas,1482,214,192,16,45,0.442,0.856,144,124,66,2075,286,382,1.55,138,1196,0.8070175438596491,BKN,"SF,SG"
Donovan Mitchell,1463,280,333,30,101,0.462,0.865,182,154,55,1943,275,321,2.16,118,1188,0.8120300751879699,CLE,"PG,SG"
Collin Sexton,1458,205,383,18,62,0.488,0.86,128,165,78,2075,318,378,2.32,154,1140,0.7818930041152263,UTH,"PG,SG"
Miles Bridges,1449,505,231,33,65,0.462,0.825,157,138,69,2581,174,402,1.67,118,1275,0.8799171842650103,CHA,"SF,PF"
Franz Wagner,1421,381,269,28,76,0.481,0.85,94,137,72,2337,271,434,1.96,168,1150,0.8092892329345531,ORL,"PF,SF,SG"
